Altium Designer Pick and Place Locations
D:\Asfaloth_L2\ECAD\Asfaloth_L2_AVI\Project Outputs for Asfaloth_L2\Pick Place for Asfaloth_L2_AVI_ver0.0.csv

========================================================================================================================
File Design Information:

Date:       15/11/24
Time:       20:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P2","Header 16X2","TopLayer","HDR2X16","54.4576","99.0600","360","Header, 16-Pin, Dual row"
"J3","282837-4","TopLayer","2828374","103.9114","83.6930","90","Connector"
"J2","282837-4","TopLayer","2828374","103.9114","62.3570","90","Connector"
"J1","282837-4","TopLayer","2828374","103.9114","22.3520","90","Connector"
"C54","0.1uF","TopLayer","CAPC1608X87N","93.7228","86.8252","360","Capacitor"
"C53","0.1uF","TopLayer","CAPC1608X87N","93.7228","65.1082","360","Capacitor"
"C52","0.1uF","TopLayer","CAPC1608X87N","94.6404","25.0270","360","Capacitor"
"U10","INA231AIYFFR","TopLayer","FP-YFF0012-IPC_C","93.7228","88.7222","90","IC CURRENT MONITOR 100DB 12DSBGA"
"U9","INA231AIYFFR","TopLayer","FP-YFF0012-IPC_C","93.7228","67.0052","90","IC CURRENT MONITOR 100DB 12DSBGA"
"U8","INA231AIYFFR","TopLayer","FP-YFF0012-IPC_C","94.5674","26.9240","90","IC CURRENT MONITOR 100DB 12DSBGA"
"R31","10mOhm shunt","TopLayer","CSS0805FT10L0","97.0788","88.6968","270","Resistor"
"R30","4.7kOhm","TopLayer","FP-KTR03-IPC_C","87.8586","88.5190","90","Res Thick Film 0603 4.7k£[ 5% 0.1W ¡Ó200ppm/¢XC Automotive Paper T/R"
"R29","4.7kOhm","TopLayer","FP-KTR03-IPC_C","90.2970","91.2114","90","Res Thick Film 0603 4.7k£[ 5% 0.1W ¡Ó200ppm/¢XC Automotive Paper T/R"
"R28","4.7kOhm","TopLayer","FP-KTR03-IPC_C","90.2970","87.4522","90","Res Thick Film 0603 4.7k£[ 5% 0.1W ¡Ó200ppm/¢XC Automotive Paper T/R"
"R27","10mOhm shunt","TopLayer","CSS0805FT10L0","97.1296","67.0052","270","Resistor"
"R26","4.7kOhm","TopLayer","FP-KTR03-IPC_C","87.8586","66.9290","90","Res Thick Film 0603 4.7k£[ 5% 0.1W ¡Ó200ppm/¢XC Automotive Paper T/R"
"R25","4.7kOhm","TopLayer","FP-KTR03-IPC_C","90.2970","69.6722","90","Res Thick Film 0603 4.7k£[ 5% 0.1W ¡Ó200ppm/¢XC Automotive Paper T/R"
"R24","4.7kOhm","TopLayer","FP-KTR03-IPC_C","90.2970","65.7352","90","Res Thick Film 0603 4.7k£[ 5% 0.1W ¡Ó200ppm/¢XC Automotive Paper T/R"
"R23","10mOhm shunt","TopLayer","CSS0805FT10L0","98.0694","26.9320","270","Resistor"
"R22","4.7kOhm","TopLayer","FP-KTR03-IPC_C","88.9254","26.5430","90","Res Thick Film 0603 4.7k£[ 5% 0.1W ¡Ó200ppm/¢XC Automotive Paper T/R"
"R21","4.7kOhm","TopLayer","FP-KTR03-IPC_C","91.2114","29.0576","90","Res Thick Film 0603 4.7k£[ 5% 0.1W ¡Ó200ppm/¢XC Automotive Paper T/R"
"R20","4.7kOhm","TopLayer","FP-KTR03-IPC_C","91.2114","25.6540","90","Res Thick Film 0603 4.7k£[ 5% 0.1W ¡Ó200ppm/¢XC Automotive Paper T/R"
"LoRa_uplink","SM12xx Header","BottomLayer","HDR34_Header","88.1634","46.7360","0","SM12xx Header; 34pins: 2x10pins + 2x7pins"
"R19","0Ohm","TopLayer","RESC3216X60N","76.5038","38.6585","0","Resistor"
"R18","0Ohm","TopLayer","RESC3216X60N","14.7574","38.6842","180","Resistor"
"R12","120Ohm","TopLayer","FP-ERJ2RK-MFG","65.1256","95.3008","360","RES SMD 120 OHM 1% 1/10W 0402"
"U3","SN65HVD1050MDREP","TopLayer","D0008A_M","65.1256","90.3478","90","Enhanced Product Emc Optimized Can Transceiver, 70 mA, -55 to 125 degC, 8-pin SOIC (D), Green (RoHS & no Sb/Br)"
"U2","SN65HVD1050MDREP","TopLayer","D0008A_M","45.1866","90.2970","90","Enhanced Product Emc Optimized Can Transceiver, 70 mA, -55 to 125 degC, 8-pin SOIC (D), Green (RoHS & no Sb/Br)"
"R17","0Ohm","TopLayer","FP-AC0603-0_55-IPC_A","59.7154","49.8094","90","RES SMD 0 OHM JUMPER 1/10W 0603"
"R16","0Ohm","TopLayer","FP-AC0603-0_55-IPC_A","5.7404","62.7380","360","RES SMD 0 OHM JUMPER 1/10W 0603"
"C51","220pF","TopLayer","CAPC1608X87X35LL15T15","74.8384","24.1300","180",""
"U7","MCP1826ST-3302E/DB","TopLayer","SOT-223-DB3_L","51.8414","30.3800","180","1000 mA, Low Voltage, Low Quiescent Current LDO Regulator, 3-Pin SOT-223, Extended Temperature, Tape and Reel"
"C49","1uF","TopLayer","FP-GCM21B-0_15-MFG","53.8734","34.9250","180","Ceramic Capacitor for Automotive 1uF ¡Ó10% 16VDC X7R 0805 Embossed T/R"
"Y2","SIT1533AI-H4-DCC-32.768D","TopLayer","FP-SiT1533-H-MFG","48.2854","53.7210","90","MEMS OSC XO 32.7680KHZ LVCMOS"
"Y1","SIT8008BI-71-33S-16.000000G","TopLayer","FP-SiT8008-7-MFG","54.4734","50.0260","90","MEMS OSC XO 16.0000MHZ H/LV-CMOS"
"U1","STM32F429ZIT6TR","TopLayer","STM-LQFP144_M","52.4804","67.3690","90","ARM Cortex-M4 32-bit MCU+FPU, 2048 KB Flash, 256 KB Internal RAM, 114 I/Os, 144-Pin LQFP, -40 to 85 degC, Tape and Reel"
"SW1","FSM2JSMAA","TopLayer","FP-FSM2JSMAA-MFG","50.3174","41.2700","270","SWITCH TACTILE SPST-NO 0.05A 24V"
"R14","0Ohm","TopLayer","FP-AC0603-0_55-IPC_A","60.8076","92.2528","90","RES SMD 0 OHM JUMPER 1/10W 0603"
"R10","0Ohm","TopLayer","FP-AC0603-0_55-IPC_A","40.9956","92.2020","90","RES SMD 0 OHM JUMPER 1/10W 0603"
"R9","120Ohm","TopLayer","FP-ERJ2RK-MFG","45.1866","95.2500","0","RES SMD 120 OHM 1% 1/10W 0402"
"R6","120Ohm","TopLayer","FP-ERJ2RK-MFG","25.4254","64.2620","90","RES SMD 120 OHM 1% 1/10W 0402"
"R5","10kOhm","TopLayer","FP-CRCW0805-e3-IPC_A","37.9730","61.8998","180","RES Thick Film, 10k£[, 1%, 0.125W, 100ppm/¢XC, 0805"
"R4","120Ohm","TopLayer","FP-ERJ2RK-MFG","25.4254","67.5640","90","RES SMD 120 OHM 1% 1/10W 0402"
"R3","120Ohm","TopLayer","FP-ERJ2RK-MFG","74.1934","25.9126","90","RES SMD 120 OHM 1% 1/10W 0402"
"R2","120Ohm","TopLayer","FP-ERJ2RK-MFG","25.4254","70.6120","90","RES SMD 120 OHM 1% 1/10W 0402"
"R1","10kOhm","TopLayer","FP-CRCW0805-e3-IPC_A","53.8734","46.3550","180","RES Thick Film, 10k£[, 1%, 0.125W, 100ppm/¢XC, 0805"
"PS1","RS6-0505S","TopLayer","RS60505S","69.1134","16.2560","180","Power Supply"
